provider,0
PRV51001,25
PRV51003,132
PRV51004,149
PRV51005,1163
PRV51007,72
PRV51008,43
PRV51011,58
PRV51012,47
PRV51013,46
PRV51014,29
PRV51015,8
PRV51016,6
PRV51017,513
PRV51021,256
PRV51023,36
PRV51024,39
PRV51025,86
PRV51026,76
PRV51027,53
PRV51029,93
PRV51030,171
PRV51031,185
PRV51032,23
PRV51035,30
PRV51036,278
PRV51037,451
PRV51038,141
PRV51040,84
PRV51041,34
PRV51042,142
PRV51043,23
PRV51044,59
PRV51045,31
PRV51046,38
PRV51047,11
PRV51048,38
PRV51049,71
PRV51052,46
PRV51053,1
PRV51054,57
PRV51055,22
PRV51056,22
PRV51057,5
PRV51058,83
PRV51059,96
PRV51060,41
PRV51061,144
PRV51062,397
PRV51063,149
PRV51064,303
PRV51065,28
PRV51066,24
PRV51067,58
PRV51068,261
PRV51070,99
PRV51071,24
PRV51072,211
PRV51074,39
PRV51075,17
PRV51076,29
PRV51077,33
PRV51078,23
PRV51081,198
PRV51082,34
PRV51083,90
PRV51084,110
PRV51086,139
PRV51089,227
PRV51090,7
PRV51091,44
PRV51093,9
PRV51096,5
PRV51097,125
PRV51098,4
PRV51100,5
PRV51101,3
PRV51102,12
PRV51103,5
PRV51104,12
PRV51105,12
PRV51108,19
PRV51109,3
PRV51110,5
PRV51111,132
PRV51112,304
PRV51113,131
PRV51114,261
PRV51115,7
PRV51117,12
PRV51118,16
PRV51119,95
PRV51120,7
PRV51121,7
PRV51122,7
PRV51123,31
PRV51125,48
PRV51126,20
PRV51128,50
PRV51129,95
PRV51130,7
PRV51131,8
PRV51132,8
PRV51134,15
PRV51135,5
PRV51136,1
PRV51137,55
PRV51138,26
PRV51139,43
PRV51140,486
PRV51141,70
PRV51142,51
PRV51143,75
PRV51144,30
PRV51145,202
PRV51146,351
PRV51147,32
PRV51148,329
PRV51149,148
PRV51151,233
PRV51152,83
PRV51153,86
PRV51154,160
PRV51155,115
PRV51156,542
PRV51159,566
PRV51160,113
PRV51164,389
PRV51165,98
PRV51166,5
PRV51167,190
PRV51168,87
PRV51169,77
PRV51170,16
